,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
680,Warehouse,47.5741,-122.32541,1940_1960,1.0,2,91.0,32400,0,32700.0,0,1,0,1.73,248616.0
681,Supermarket / Grocery Store,47.63776,-122.35606,1960_1980,1.0,1,38.0,25159,0,25883.0,0,1,1,247.85,8905287.0
682,Distribution Center,47.56489,-122.3409,1940_1960,1.0,1,92.0,26680,0,33987.0,0,1,0,1.7,243518.2031
683,Warehouse,47.56447,-122.35335,1940_1960,1.0,1,6.0,31521,0,31521.0,0,1,1,61.71,1788148.0
684,Warehouse,47.56982,-122.33479,1940_1960,1.0,1,,24000,0,20400.0,0,1,1,46.64,1257033.5
685,Self-Storage Facility,47.56487,-122.34181,1940_1960,1.0,1,,21900,0,21900.0,0,1,1,65.65,1333637.625
686,Warehouse,47.56897,-122.33617,1960_1980,1.0,1,,38005,0,21560.0,0,1,1,10.75,752093.625
687,Distribution Center,47.5678,-122.33622,1980_2000,1.0,1,72.0,35579,0,35579.0,0,1,1,39.05,1096646.25
688,Distribution Center,47.57382,-122.32672,1960_1980,1.0,1,77.0,49950,0,49950.0,0,1,0,1.67,238969.7031
689,Worship Facility,47.63927,-122.4032,1940_1960,1.0,2,87.0,22612,0,22612.0,0,1,1,31.6,731321.8125
690,Other,47.72599,-122.29314,1960_1980,1.0,2,,38787,0,38787.0,0,1,1,67.52,3204685.5
691,Self-Storage Facility,47.72356,-122.29378,1980_2000,2.0,2,,50368,0,50369.0,0,1,1,28.58,753275.1875
692,Warehouse,47.55302,-122.33605,1920_1940,1.0,1,12.0,30545,0,23545.0,0,1,1,61.53,1577040.875
693,K-12 School,47.63111,-122.35814,1920_1940,1.0,3,99.0,32691,0,33550.0,0,1,1,29.82,971990.3125
694,Worship Facility,47.63159,-122.35839,1960_1980,1.0,2,55.0,24227,0,26210.0,0,1,1,47.59,1086678.125
695,Distribution Center,47.54365,-122.30785,1940_1960,1.0,1,61.0,27000,0,27000.0,0,1,1,18.85,651293.3125
696,Small- and Mid-Sized Office,47.64243,-122.32618,1940_1960,1.0,2,99.0,21183,0,13945.0,0,1,0,2.52,361542.0938
697,Small- and Mid-Sized Office,47.64428,-122.32627,1960_1980,1.0,3,91.0,25558,3834,29392.0,0,1,1,6.18,755618.1875
698,Large Office,47.6465,-122.3252,1980_2000,1.0,5,62.0,82234,55504,77796.0,0,1,0,32.8,4704936.5
700,Large Office,47.64868,-122.34254,2000_,1.0,5,98.0,126842,79284,101941.0,0,1,1,72.26,4489661.0
701,Small- and Mid-Sized Office,47.64866,-122.34509,_1920,1.0,2,48.0,20500,0,20500.0,0,1,1,11.27,1326178.125
702,Senior Care Community,47.69875,-122.36725,1960_1980,1.0,2,3.0,3636,31000,36000.0,0,1,1,480.9,12148720.0
703,Worship Facility,47.67485,-122.29284,1920_1940,1.0,2,82.0,25521,0,25521.0,0,1,1,15.47,605186.3125
704,K-12 School,47.67485,-122.29284,1980_2000,1.0,1,79.0,23190,0,23190.0,0,1,1,68.14,1705515.25
705,Small- and Mid-Sized Office,47.68602,-122.35674,1940_1960,1.0,1,98.0,20678,0,23100.0,0,1,1,32.63,770333.0
706,K-12 School,47.68642,-122.35707,1920_1940,1.0,3,43.0,28820,0,33780.0,0,1,1,106.45,2595783.5
707,Worship Facility,47.51042,-122.26277,1940_1960,1.0,2,69.0,27876,0,44816.0,0,1,1,68.97,1829981.375
708,K-12 School,47.63796,-122.34897,1920_1940,1.0,1,94.0,48789,0,48789.0,0,1,1,29.41,1298307.625
709,Senior Care Community,47.55387,-122.27875,1960_1980,1.0,2,51.0,41649,7233,41922.0,0,1,1,235.26,6782435.0
710,Warehouse,47.55374,-122.32498,1960_1980,1.0,1,62.0,22320,0,22320.0,0,1,0,3.06,439065.9063
711,Other,47.55297,-122.32472,1960_1980,1.0,1,,47105,0,45320.0,0,1,1,348.22,10234721.0
712,Small- and Mid-Sized Office,47.55316,-122.32616,1980_2000,1.0,2,69.0,40029,0,31800.0,0,1,0,10.26,1471914.25
713,Small- and Mid-Sized Office,47.55196,-122.32518,1960_1980,1.0,2,67.0,28304,0,27185.0,0,1,0,8.85,1269367.5
714,Other,47.55168,-122.32459,1960_1980,1.0,1,,26400,0,20560.0,0,1,0,3.16,452612.5
715,Warehouse,47.55049,-122.32382,1960_1980,1.0,1,,27680,0,25000.0,0,1,1,64.81,1778431.75
716,Small- and Mid-Sized Office,47.55145,-122.32635,1960_1980,1.0,2,,25872,0,23272.0,0,1,1,45.79,1787119.0
717,Small- and Mid-Sized Office,47.55127,-122.32576,1960_1980,1.0,2,41.0,25872,0,24988.0,0,1,1,81.96,2399353.5
718,Warehouse,47.55127,-122.32576,1960_1980,1.0,1,65.0,20500,0,21386.0,0,1,0,1.55,222600.0938
719,Small- and Mid-Sized Office,47.6557,-122.34682,1940_1960,1.0,2,95.0,21436,0,21436.0,0,1,0,3.73,534703.6875
720,Mixed Use Property,47.65205,-122.3218,1980_2000,1.0,1,,20233,0,7245.0,0,1,1,18.16,630250.125
721,Small- and Mid-Sized Office,47.65178,-122.351,2000_,1.0,4,,27526,12400,24335.0,0,1,1,14.49,1010967.688
722,Small- and Mid-Sized Office,47.64904,-122.34609,1980_2000,1.0,3,94.0,23307,8110,26295.0,0,1,1,28.09,1126157.25
723,Self-Storage Facility,47.61179,-122.3404,1920_1940,1.0,6,,46580,0,46580.0,0,1,0,4.95,710275.375
724,Retail Store,47.61165,-122.34011,_1920,1.0,2,5.0,25920,0,25920.0,0,1,0,3.34,478690.0938
725,Retail Store,47.61236,-122.34144,_1920,1.0,2,93.0,25920,0,38880.0,0,1,1,13.71,1011667.5
726,Hotel,47.61203,-122.34165,_1920,1.0,8,93.0,61721,0,,0,1,1,36.92,2897079.75
727,Small- and Mid-Sized Office,47.61297,-122.34324,_1920,1.0,2,75.0,25920,0,23995.0,0,1,1,46.48,1793851.375
728,Small- and Mid-Sized Office,47.61098,-122.32766,1920_1940,1.0,4,92.0,39760,0,39760.0,1,1,1,149.91,2478960.0
729,Other,47.61109,-122.32721,_1920,1.0,3,,30971,0,30971.0,1,1,1,94.85,2823184.0
730,Small- and Mid-Sized Office,47.61063,-122.32741,1940_1960,1.0,3,1.0,22667,0,22667.0,1,1,1,148.55,3767135.0
731,Warehouse,47.64965,-122.34913,1920_1940,1.0,2,,33840,0,18740.0,0,1,1,60.88,2227638.25
732,Mixed Use Property,47.6502,-122.34959,2000_,5.0,3,,32601,9226,14273.0,0,1,1,110.17,4193371.0
733,Small- and Mid-Sized Office,47.65114,-122.34954,2000_,1.0,5,79.0,27730,6010,15908.0,0,1,0,9.0,1291405.25
734,Retail Store,47.65115,-122.35024,_1920,1.0,2,98.0,20516,0,10155.0,0,1,1,42.04,1021796.625
735,Retail Store,47.65019,-122.35013,_1920,1.0,3,88.0,27480,0,22218.0,0,1,0,8.47,1215156.25
736,Mixed Use Property,47.65061,-122.35159,1940_1960,1.0,1,95.0,46958,0,40313.0,0,1,1,30.32,1818867.875
737,Distribution Center,47.65214,-122.356,1980_2000,1.0,1,5.0,26532,0,26532.0,0,1,1,66.53,1934224.25
738,Small- and Mid-Sized Office,47.65186,-122.35531,1980_2000,1.0,2,,22388,0,19600.0,0,1,1,9.46,576405.125
739,Other,47.65138,-122.35565,1960_1980,1.0,1,,30730,0,30730.0,0,1,1,73.52,3050455.25
740,Small- and Mid-Sized Office,47.65297,-122.35839,1980_2000,1.0,2,47.0,35600,0,36839.0,0,1,1,18.34,2173143.75
741,Worship Facility,47.64905,-122.36055,1940_1960,1.0,3,81.0,62000,0,57200.0,0,1,1,82.34,1799664.125
742,Small- and Mid-Sized Office,47.64805,-122.35534,1980_2000,1.0,2,82.0,23600,0,23600.0,0,1,0,5.41,776248.6875
743,Small- and Mid-Sized Office,47.64976,-122.35684,1980_2000,1.0,3,43.0,40067,0,40067.0,0,1,0,16.06,2303732.75
744,Small- and Mid-Sized Office,47.64976,-122.35684,1980_2000,1.0,3,67.0,19497,6922,26419.0,0,1,0,7.49,1074989.0
745,Small- and Mid-Sized Office,47.64976,-122.35684,1960_1980,1.0,3,54.0,25262,0,25262.0,0,1,1,23.85,1469556.25
746,Other,47.64975,-122.35289,1980_2000,0.0,3,,53103,0,38723.0,0,1,1,38.12,4877959.0
747,Small- and Mid-Sized Office,47.64901,-122.35516,1960_1980,1.0,3,57.0,34106,0,32739.0,0,1,0,11.29,1619177.125
748,Small- and Mid-Sized Office,47.64934,-122.35592,1960_1980,1.0,3,29.0,34545,0,34545.0,0,1,0,16.13,2313978.75
749,Small- and Mid-Sized Office,47.64865,-122.35435,1960_1980,1.0,3,86.0,70296,0,70296.0,0,1,0,19.39,2782066.5
750,Small- and Mid-Sized Office,47.59979,-122.33339,_1920,1.0,4,77.0,27838,0,27838.0,0,1,0,8.49,1217509.125
751,Distribution Center,47.55105,-122.34695,1960_1980,2.0,2,,28368,0,35300.0,0,1,1,30.02,1856230.625
752,Other,47.72471,-122.3412,1960_1980,1.0,2,,92080,0,92129.0,0,1,1,127.1,5155090.5
753,Other,47.72288,-122.34065,1960_1980,1.0,1,,20236,0,20236.0,0,1,1,49.58,1965182.25
754,Small- and Mid-Sized Office,47.72004,-122.34418,1940_1960,1.0,2,62.0,39815,0,27118.0,0,1,1,40.22,2050600.75
755,Warehouse,47.72183,-122.34328,1960_1980,1.0,1,73.0,48112,0,48112.0,0,1,0,10.36,1485945.875
756,Other,47.72065,-122.34318,2000_,1.0,1,,20909,0,19050.0,0,1,1,32.86,1208029.25
757,Small- and Mid-Sized Office,47.73387,-122.34722,2000_,1.0,2,27.0,26275,16518,26275.0,0,1,0,12.35,1772188.5
758,Other,47.72644,-122.34338,2000_,1.0,2,,45000,0,45000.0,0,1,1,176.79,5912066.0
759,Retail Store,47.72337,-122.34373,1980_2000,1.0,1,43.0,26115,0,26115.0,0,1,1,36.74,1689372.625
760,Worship Facility,47.6702,-122.32066,1940_1960,1.0,1,78.0,26033,0,30044.0,0,1,1,45.33,1149140.25
761,K-12 School,47.64344,-122.3509,2000_,1.0,4,82.0,48660,0,49468.0,0,1,1,61.98,1881516.125
762,Senior Care Community,47.6441,-122.34795,1960_1980,1.0,2,73.0,46539,0,46539.0,0,1,1,180.38,5400049.5
764,Retail Store,47.6123,-122.34395,_1920,1.0,2,36.0,26400,0,14428.0,0,1,1,17.12,983595.875
765,Small- and Mid-Sized Office,47.61185,-122.3434,_1920,1.0,3,98.0,38148,0,37853.0,0,1,0,8.8,1262255.75
766,Mixed Use Property,47.62231,-122.34145,1920_1940,1.0,2,,28800,0,14400.0,0,1,1,12.77,456953.0
767,Worship Facility,47.62232,-122.36101,1940_1960,1.0,5,4.0,31945,0,31945.0,0,1,0,12.59,1806468.0
768,Small- and Mid-Sized Office,47.6189,-122.35713,1980_2000,1.0,5,43.0,52908,33055,52908.0,0,1,0,31.24,4480961.0
769,Retail Store,47.60683,-122.33771,_1920,1.0,4,92.0,34680,0,34680.0,0,1,1,26.38,1169948.875
770,Worship Facility,47.60867,-122.33265,1960_1980,1.0,3,24.0,40548,34510,75058.0,0,1,1,247.97,5587347.0
771,Retail Store,47.61103,-122.33549,_1920,1.0,1,2.0,36504,0,16200.0,0,1,1,20.76,2100982.75
772,Small- and Mid-Sized Office,47.61091,-122.33667,_1920,1.0,6,8.0,35200,0,35200.0,0,1,0,20.9,2998208.25
773,Small- and Mid-Sized Office,47.60961,-122.33566,_1920,1.0,5,83.0,35840,0,35840.0,0,1,1,48.35,1538750.625
774,Other,47.60985,-122.33527,1940_1960,1.0,2,60.0,25920,0,23230.0,0,1,0,9.3,1333432.125
775,Small- and Mid-Sized Office,47.60952,-122.33558,1920_1940,1.0,4,17.0,30525,0,15609.0,1,1,0,73.61,2883139.0
776,Other,47.61186,-122.32857,1960_1980,1.0,4,,49243,0,52284.0,0,1,1,101.34,8476183.0
777,Other,47.6097,-122.325,_1920,0.0,3,,20411,0,20411.0,0,1,1,71.23,2014475.875
778,Medical Office,47.61065,-122.32125,1960_1980,1.0,2,2.0,20570,10285,21571.0,0,1,1,85.55,2946756.25
779,Small- and Mid-Sized Office,47.61194,-122.32177,_1920,1.0,3,90.0,73549,0,41632.0,0,1,1,107.45,2828950.5
780,Other,47.60865694,-122.3205368,1980_2000,1.0,5,,34380,11400,45780.0,1,1,1,462.4,10834087.0
781,Medical Office,47.60865416,-122.3205904,1960_1980,0.0,3,42.0,39115,0,50000.0,0,1,1,60.04,3735308.5
782,Other,47.60901,-122.32994,_1920,1.0,3,,38038,0,35886.0,1,1,0,55.61,1107290.625
783,Worship Facility,47.60821,-122.3296,1960_1980,1.0,3,55.0,37796,0,53000.0,1,1,1,123.41,2465983.5
784,Warehouse,47.66388,-122.36831,1940_1960,1.0,1,80.0,36444,0,36444.0,0,1,0,1.12,161311.0938
785,Warehouse,47.65907,-122.36783,1940_1960,1.0,1,63.0,27553,0,27553.0,0,1,1,31.61,966677.125
786,Distribution Center,47.6583,-122.36638,1940_1960,3.0,1,,57310,0,57310.0,0,1,1,34.87,1253745.5
787,Mixed Use Property,47.62296,-122.33884,_1920,1.0,2,,25920,0,10109.0,0,1,1,16.57,989079.5
788,Restaurant,47.62354,-122.33808,_1920,1.0,3,,40686,0,40686.0,0,1,1,73.0,2106073.5
789,Retail Store,47.62399,-122.33804,1960_1980,1.0,2,57.0,45271,0,45271.0,0,1,1,82.72,2553763.5
790,Small- and Mid-Sized Office,47.62437,-122.33802,_1920,1.0,3,62.0,16200,12180,28380.0,0,1,1,35.77,1372213.375
791,Large Office,47.62296,-122.3362,2000_,1.0,5,77.0,508160,0,329850.0,0,1,1,487.53,28053172.0
792,Small- and Mid-Sized Office,47.62353,-122.33622,1920_1940,1.0,3,95.0,26176,0,23730.0,0,1,1,32.09,966907.375
793,Small- and Mid-Sized Office,47.62799,-122.33132,1920_1940,1.0,1,1.0,37740,0,37481.0,0,1,1,73.48,7442314.5
794,Worship Facility,47.61876,-122.3534,2000_,1.0,3,66.0,23241,0,23241.0,0,1,1,20.64,739210.5
795,Other,47.61974,-122.3511,1960_1980,1.0,1,,155795,0,155795.0,0,1,1,255.83,17673018.0
796,Other,47.62049,-122.3493,1960_1980,1.0,2,,33971,0,50000.0,0,1,1,523.95,17686444.0
797,Small- and Mid-Sized Office,47.62055,-122.33881,1980_2000,1.0,4,84.0,38038,0,38038.0,0,1,0,13.97,2003807.75
798,Small- and Mid-Sized Office,47.62028,-122.33717,2000_,1.0,4,92.0,40000,24596,41591.0,0,1,1,77.8,2524228.25
799,Small- and Mid-Sized Office,47.62038,-122.33759,1920_1940,1.0,3,1.0,35404,6062,35404.0,0,1,1,234.03,9190442.0
800,Large Office,47.62004,-122.33807,2000_,1.0,6,92.0,29910,100800,120548.0,0,1,1,86.51,7429423.0
801,Small- and Mid-Sized Office,47.62054,-122.33807,1920_1940,1.0,4,77.0,35780,0,22341.0,0,1,0,13.33,1912760.75
802,Mixed Use Property,47.6223,-122.35653,1960_1980,1.0,4,41.0,17824,7308,8061.0,0,1,0,3.94,564754.1875
803,Other,47.60849,-122.33924,_1920,1.0,2,,25920,0,11888.0,0,1,0,8.77,1257774.625
804,Small- and Mid-Sized Office,47.60994,-122.33997,_1920,1.0,4,72.0,47686,0,25500.0,1,1,0,77.48,2071670.25
805,Mixed Use Property,47.60805,-122.33978,_1920,1.0,2,,49280,0,15614.0,0,1,1,98.28,5437110.5
807,Restaurant,47.60895,-122.34052,_1920,1.0,2,,25380,0,17114.0,0,1,1,218.79,6901554.0
808,Small- and Mid-Sized Office,47.60836,-122.34157,_1920,1.0,6,,40715,0,20895.0,0,1,1,44.89,2827772.75
809,Mixed Use Property,47.61113,-122.34556,1980_2000,1.0,4,91.0,47265,34800,36036.0,0,1,0,11.97,1717130.875
810,Small- and Mid-Sized Office,47.61041,-122.34214,_1920,1.0,4,47.0,36160,0,36160.0,0,1,0,12.98,1862176.875
811,Mixed Use Property,47.61014,-122.34251,_1920,1.0,1,,34617,0,6455.0,0,1,1,143.34,5136604.5
812,Small- and Mid-Sized Office,47.6123,-122.34611,_1920,1.0,5,100.0,66900,0,68048.0,0,1,1,14.13,1634178.25
813,Mixed Use Property,47.61252,-122.34565,_1920,1.0,3,,29340,0,12714.0,0,1,1,75.99,2160420.0
814,Other,47.61341,-122.34597,1920_1940,0.0,2,,22710,0,22710.0,0,1,0,2.01,287763.5
815,Small- and Mid-Sized Office,47.6367,-122.3285,1980_2000,1.0,3,13.0,36959,13540,36959.0,0,1,1,22.46,3205182.5
816,Small- and Mid-Sized Office,47.63616,-122.32718,1960_1980,1.0,5,68.0,44860,9605,57972.0,0,1,1,41.22,3600571.25
817,K-12 School,47.63239,-122.32072,1920_1940,1.0,2,56.0,45960,0,45960.0,0,1,1,182.81,4167253.75
818,Small- and Mid-Sized Office,47.61992,-122.34539,1940_1960,1.0,2,97.0,21128,0,21128.0,0,1,0,3.04,436604.0938
819,Mixed Use Property,47.61893,-122.34473,2000_,1.0,4,,274442,0,108763.0,0,1,1,220.26,9155568.0
820,Small- and Mid-Sized Office,47.61952,-122.34462,2000_,1.0,3,,51552,0,54150.0,0,1,0,10.73,1539066.375
821,Hotel,47.62014,-122.34456,1940_1960,1.0,4,37.0,38520,0,38500.0,0,1,1,75.25,2804534.0
822,Hotel,47.62174,-122.34417,1960_1980,1.0,3,95.0,24930,4256,19000.0,0,1,1,30.22,867184.375
823,Worship Facility,47.6201,-122.34071,1940_1960,1.0,1,56.0,27338,0,27338.0,0,1,0,4.05,581289.0
824,Other,47.64132,-122.31644,1980_2000,1.0,2,,20110,65640,65000.0,0,1,1,77.76,2045592.0
825,Laboratory,47.6224,-122.36248,1960_1980,1.0,2,,34416,0,20649.0,0,1,1,422.45,12015936.0
826,Small- and Mid-Sized Office,47.61954,-122.35847,1920_1940,1.0,3,94.0,45864,0,45864.0,0,1,1,115.43,2590622.0
827,K-12 School,47.72726,-122.32835,1980_2000,1.0,2,23.0,49252,0,61099.0,0,1,1,104.91,3485865.5
828,Small- and Mid-Sized Office,47.63245,-122.32529,1980_2000,1.0,3,89.0,33176,0,33176.0,0,1,1,35.96,1426279.5
829,Retail Store,47.63246,-122.32658,1980_2000,1.0,3,,21430,3764,10751.0,0,1,1,55.95,1878742.875
830,Worship Facility,47.55072,-122.30265,1960_1980,1.0,99,80.0,21948,0,21948.0,0,1,0,2.27,326001.1875
831,Other,47.64033,-122.29135,1920_1940,1.0,3,,31191,0,30095.0,0,1,1,167.98,5876439.0
832,Other,47.72039,-122.29729,1940_1960,1.0,1,,37377,0,31303.0,0,1,1,111.73,3040978.0
833,Warehouse,47.53906,-122.32031,1960_1980,1.0,1,33.0,29380,0,16768.0,0,1,0,5.97,856088.625
834,Worship Facility,47.60321889,-122.3205567,1920_1940,1.0,2,87.0,22688,0,22688.0,0,1,1,7.07,331675.0
835,Other,47.56028,-122.28914,1960_1980,1.0,2,,22364,0,22364.0,0,1,1,54.44,1467029.75
836,Small- and Mid-Sized Office,47.54693,-122.28718,1980_2000,1.0,2,84.0,41262,0,40738.0,0,1,0,13.27,1903455.875
837,Small- and Mid-Sized Office,47.62038,-122.34668,1940_1960,1.0,2,,43183,0,26580.0,0,1,1,92.45,7408342.0
838,Worship Facility,47.68566,-122.31849,_1920,1.0,3,79.0,45680,0,45680.0,0,1,1,86.81,2077039.375
839,Senior Care Community,47.61935,-122.33389,2000_,1.0,14,8.0,724148,0,726000.0,0,1,1,913.07,37797084.0
840,Worship Facility,47.53439,-122.37699,1940_1960,1.0,1,96.0,23562,0,18278.0,0,1,0,3.71,531737.1875
841,Small- and Mid-Sized Office,47.65804,-122.36537,1980_2000,1.0,4,,28844,0,10292.0,0,1,0,6.35,910718.6875
842,Warehouse,47.56067,-122.32646,1980_2000,1.0,1,,21101,0,18373.0,0,1,1,27.97,675772.875
843,Refrigerated Warehouse,47.56067,-122.32705,_1920,1.0,2,75.0,45594,0,45594.0,0,1,0,9.42,1351267.875
844,Other,47.55013,-122.33044,1940_1960,1.0,1,,26660,0,26660.0,0,1,0,15.62,2241280.5
845,Warehouse,47.56056,-122.32593,1960_1980,1.0,1,44.0,28126,0,21780.0,0,1,1,18.63,870625.8125
846,Warehouse,47.54813,-122.32553,1960_1980,1.0,1,53.0,35000,0,35000.0,0,1,0,2.64,378714.4063
847,Warehouse,47.54948,-122.32536,1960_1980,1.0,1,6.0,26150,0,26150.0,0,1,1,26.55,1208407.625
848,Small- and Mid-Sized Office,47.54974,-122.3261,1960_1980,1.0,2,73.0,24000,0,24000.0,0,1,0,7.59,1088556.25
849,K-12 School,47.64132,-122.31644,1960_1980,1.0,5,38.0,43594,0,40809.0,0,1,1,73.26,2478045.5
850,Distribution Center,47.65791,-122.34274,_1920,1.0,1,,28080,0,25580.0,0,1,1,18.54,794724.625
851,Senior Care Community,47.72618,-122.35642,1940_1960,1.0,2,85.0,51298,0,51298.0,0,1,1,203.73,5655578.0
852,Worship Facility,47.72558,-122.3578,1960_1980,1.0,1,100.0,22047,0,22898.0,0,1,0,1.85,265774.9063
853,Warehouse,47.5213,-122.32182,1960_1980,1.0,1,3.0,31600,0,31600.0,0,1,1,103.28,3363535.5
854,Warehouse,47.52024,-122.32137,2000_,1.0,1,63.0,35289,0,35289.0,0,1,1,23.9,876425.0
855,Warehouse,47.51899,-122.321,1980_2000,1.0,1,50.0,28920,0,30000.0,0,1,1,80.09,1750419.0
856,Warehouse,47.5193,-122.3213,1960_1980,1.0,1,60.0,22176,0,22176.0,0,1,1,32.77,736428.625
857,Small- and Mid-Sized Office,47.70079,-122.32714,1960_1980,1.0,3,38.0,39927,0,39541.0,0,1,0,24.88,3568419.5
858,Other,47.69883,-122.32479,1960_1980,1.0,1,,30610,0,23320.0,0,1,1,135.81,4294550.0
859,Medical Office,47.70007,-122.32533,1960_1980,1.0,2,64.0,20580,6350,26930.0,0,1,0,6.99,1002995.0
860,Medical Office,47.70087,-122.32379,1960_1980,1.0,2,76.0,38745,0,65069.0,0,1,1,49.62,2890379.0
861,Self-Storage Facility,47.66353,-122.29505,1940_1960,1.0,2,,20296,0,20296.0,0,1,0,5.97,855665.125
862,Mixed Use Property,47.66246,-122.29342,1940_1960,1.0,2,,22135,0,10388.0,0,1,1,27.41,1261634.5
863,Medical Office,47.66183,-122.29264,1960_1980,1.0,3,86.0,38378,0,35066.0,0,1,1,53.73,1645605.125
864,Warehouse,47.66294,-122.29521,1960_1980,1.0,2,64.0,33576,0,33576.0,0,1,1,49.73,1275231.75
865,Supermarket / Grocery Store,47.66205,-122.29545,1960_1980,1.0,1,21.0,33005,0,34982.0,0,1,1,225.67,10642754.0
866,Other,47.61074,-122.32259,1980_2000,1.0,1,,20971,0,23483.0,0,1,0,5.08,729397.1875
867,Small- and Mid-Sized Office,47.63981,-122.39907,1920_1940,1.0,3,,23910,0,20000.0,0,1,1,15.11,873577.3125
868,Worship Facility,47.67477,-122.38241,_1920,1.0,2,80.0,21765,0,21765.0,0,1,1,17.38,431390.4063
869,University,47.61065,-122.31711,1920_1940,1.0,2,,2200000,0,1719643.0,0,1,1,3243.48,114648520.0
870,Worship Facility,47.6101,-122.30838,_1920,1.0,2,1.0,26560,0,26560.0,0,1,1,64.88,1751483.875
871,Warehouse,47.65022,-122.34174,1940_1960,1.0,2,49.0,20140,0,20140.0,0,1,0,0.81,116486.6016
872,Retail Store,47.53846,-122.28305,1980_2000,1.0,2,82.0,38845,0,38845.0,0,1,1,215.56,6917280.0
873,Supermarket / Grocery Store,47.53747,-122.28308,1940_1960,1.0,1,40.0,26092,0,25946.0,0,1,1,173.75,7619445.0
874,Small- and Mid-Sized Office,47.55045,-122.32749,1960_1980,1.0,1,98.0,25500,0,25500.0,0,1,1,55.3,1213869.75
875,Warehouse,47.5478,-122.32307,1960_1980,1.0,1,,41895,0,37524.0,0,1,1,25.09,1242311.5
876,Retail Store,47.54912,-122.32184,1940_1960,1.0,2,,56193,0,56193.0,0,1,1,46.9,2497942.75
877,K-12 School,47.6712,-122.37568,1920_1940,1.0,3,97.0,35448,0,35448.0,0,1,1,60.34,1379932.5
878,Supermarket / Grocery Store,47.66986,-122.37418,1960_1980,1.0,1,8.0,29214,0,29214.0,0,1,1,208.53,9336239.0
879,Supermarket / Grocery Store,47.66828,-122.37428,1980_2000,1.0,1,34.0,46068,43035,47034.0,0,1,1,384.85,14029480.0
880,Other,47.66621,-122.37502,1960_1980,1.0,1,,32000,0,29880.0,0,1,1,45.38,1331122.125
881,Mixed Use Property,47.66389,-122.37307,_1920,1.0,2,,31140,0,14840.0,0,1,1,38.86,935580.3125
882,Warehouse,47.6644,-122.37246,1960_1980,1.0,3,3.0,41478,0,31932.0,0,1,1,78.22,3035962.25
883,Warehouse,47.66411,-122.37185,1960_1980,1.0,1,2.0,39840,0,39840.0,0,1,0,5.24,752104.0
884,Other,47.66894,-122.38242,1920_1940,1.0,2,,21528,0,21528.0,0,1,1,6.61,306911.0938
885,Other,47.66908,-122.38627,1920_1940,1.0,2,,30000,0,25828.0,0,1,1,13.14,1094940.75
886,Other,47.67482,-122.37316,1940_1960,1.0,2,,30087,0,30554.0,0,1,0,36.77,5274642.0
887,Worship Facility,47.66327,-122.37439,1960_1980,1.0,1,92.0,40445,0,40445.0,0,1,1,29.24,786253.6875
888,Retail Store,47.66318,-122.37283,1980_2000,1.0,1,53.0,23500,0,23500.0,0,1,1,13.29,1137967.5
889,Retail Store,47.67518,-122.36549,1960_1980,1.0,1,82.0,22420,0,23067.0,0,1,1,31.79,1404253.75
890,Supermarket / Grocery Store,47.64909,-122.37788,1960_1980,1.0,1,35.0,25842,0,25987.0,0,1,1,237.54,8518313.0
891,Small- and Mid-Sized Office,47.65018,-122.37787,1980_2000,1.0,3,,26389,0,16766.0,0,1,0,8.42,1208035.375
892,Small- and Mid-Sized Office,47.65252,-122.37587,1980_2000,1.0,3,88.0,25859,0,25859.0,0,1,1,14.9,858780.625
893,Warehouse,47.66238,-122.38831,1960_1980,1.0,1,1.0,25600,0,20600.0,0,1,1,34.26,1730600.625
894,Other,47.66126,-122.38751,1960_1980,1.0,1,,23169,0,10200.0,0,1,0,1.55,222255.9063
895,Small- and Mid-Sized Office,47.66106,-122.38576,2000_,1.0,4,89.0,33385,8399,33385.0,0,1,0,9.03,1294615.25
896,Warehouse,47.66206,-122.38948,1940_1960,1.0,1,71.0,56884,0,56884.0,0,1,1,37.49,1388345.125
897,Retail Store,47.6917,-122.37617,1980_2000,1.0,1,66.0,32810,0,32810.0,0,1,1,46.44,2017967.75
898,Self-Storage Facility,47.64455,-122.37581,1960_1980,1.0,3,,30989,0,30989.0,0,1,0,0.68,97690.39844
899,Self-Storage Facility,47.64418,-122.37587,_1920,1.0,3,,39952,0,39952.0,0,1,0,0.4,57133.19922
900,Small- and Mid-Sized Office,47.65504,-122.37402,1960_1980,1.0,2,80.0,20022,0,20784.0,0,1,0,4.58,657385.8125
901,Distribution Center,47.65563,-122.37194,1940_1960,1.0,2,89.0,36498,0,18229.0,0,1,1,14.81,520011.8125
902,Distribution Center,47.66161,-122.39075,1960_1980,1.0,1,,35946,0,31845.0,0,1,1,11.08,469499.8125
903,Small- and Mid-Sized Office,47.66006,-122.38631,2000_,1.0,4,96.0,24472,5680,25184.0,0,1,1,5.94,845044.125
904,Small- and Mid-Sized Office,47.65881,-122.38382,1960_1980,1.0,4,71.0,22365,0,21617.0,0,1,0,5.07,727385.8125
905,Small- and Mid-Sized Office,47.65801,-122.3839,1980_2000,1.0,4,82.0,30172,0,30172.0,0,1,0,6.3,904059.875
