,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
110,Warehouse,47.57507,-122.35747,_1920,0.0,4,34.0,79600,0,79600.0,0,1,0,16.81,2411402.25
111,Large Office,47.52429,-122.31234,1960_1980,14.0,2,,302494,31874,240984.0,0,1,1,748.55,53466684.0
112,Other,47.70281,-122.32532,2000_,1.0,6,,84739,335109,335109.0,0,1,1,162.41,9134963.0
113,Mixed Use Property,47.6239,-122.35756,2000_,1.0,4,,110785,0,58563.0,0,1,1,92.91,10557910.0
114,Hotel,47.61275,-122.3333,1980_2000,1.0,0,,934292,0,495536.0,0,1,1,1638.46,65047284.0
115,Hospital,47.60705,-122.30966,1980_2000,6.0,5,34.0,597519,0,601615.0,0,1,1,4906.33,143423024.0
116,Warehouse,47.65097,-122.34227,1980_2000,1.0,3,91.0,67236,8161,67236.0,0,1,1,9.63,549181.375
117,Hospital,47.60399,-122.32377,1980_2000,9.0,8,29.0,1158691,0,1350182.0,1,1,1,10734.57,293090784.0
118,Senior Care Community,47.59626,-122.3218,1980_2000,1.0,5,,90185,12611,55259.0,0,1,1,193.94,10105379.0
119,K-12 School,47.66568,-122.31368,1920_1940,1.0,2,98.0,55653,0,55500.0,0,1,1,72.88,1377627.0
120,Hotel,47.66151,-122.31457,1920_1940,1.0,16,49.0,106860,0,106860.0,0,1,1,469.57,11935719.0
121,Small- and Mid-Sized Office,47.71895,-122.29475,1960_1980,1.0,5,62.0,50759,0,47079.0,0,1,1,49.09,3147042.0
122,Worship Facility,47.66182,-122.31113,1940_1960,1.0,2,46.0,56772,0,56772.0,0,1,1,84.57,2439484.75
123,Worship Facility,47.6626,-122.31164,1940_1960,1.0,3,42.0,103000,0,103000.0,0,1,1,149.93,4854429.5
124,Other,47.61103,-122.33238,_1920,1.0,7,,128766,0,109754.0,0,1,1,57.21,6057410.0
126,Other,47.60699,-122.33481,1940_1960,1.0,15,,230880,0,203000.0,0,1,0,433.6,62197176.0
127,Other,47.63965,-122.3783,1960_1980,1.0,1,,76086,0,77810.0,0,1,1,101.41,3267564.0
128,Medical Office,47.61972,-122.36033,1920_1940,1.0,5,1.0,151000,39000,146741.0,0,1,1,661.04,28731502.0
129,Hotel,47.6124,-122.35075,1960_1980,1.0,4,8.0,122309,0,122309.0,0,1,1,1060.13,25453690.0
130,Other,47.61137,-122.34947,1980_2000,4.0,3,,215476,0,217088.0,0,1,1,639.39,24017770.0
131,Hotel,47.61069,-122.34653,2000_,1.0,8,29.0,215473,38800,277000.0,0,1,1,780.84,26659244.0
132,Mixed Use Property,47.6041,-122.33958,_1920,1.0,1,,62900,0,32494.0,0,1,1,377.27,10394330.0
133,Small- and Mid-Sized Office,47.60271,-122.33557,_1920,1.0,4,98.0,56500,0,33000.0,1,1,0,44.22,1380293.625
